time,open,max,min,close,result
2023-05-14 06:10:59,1.109285,1.109395,1.109275,1.109275,loss
2023-05-14 05:55:00,1.108785,1.108895,1.108785,1.108885,loss
2023-05-14 05:56:00,1.108885,1.109145,1.108885,1.109125,loss
2023-05-14 05:57:00,1.109115,1.109235,1.109105,1.109225,loss
2023-05-14 05:58:00,1.109215,1.109245,1.109145,1.109165,loss
2023-05-14 05:59:00,1.109155,1.109295,1.109115,1.109235,loss
2023-05-14 06:00:00,1.109245,1.109245,1.109155,1.109195,loss
2023-05-14 06:01:00,1.109195,1.109385,1.109135,1.109385,loss
2023-05-14 06:02:00,1.109395,1.109605,1.109375,1.109565,loss
2023-05-14 06:03:00,1.109615,1.109655,1.109565,1.109605,loss
2023-05-14 06:04:00,1.109605,1.109655,1.109525,1.109645,loss
2023-05-14 06:05:00,1.109645,1.109705,1.109405,1.109415,loss
2023-05-14 06:06:00,1.109405,1.109445,1.109335,1.109435,loss
2023-05-14 06:07:00,1.109475,1.109485,1.109215,1.109245,loss
2023-05-14 06:08:00,1.109255,1.109295,1.109235,1.109275,loss
2023-05-14 06:09:00,1.109285,1.109325,1.109185,1.109255,loss
2023-05-14 06:10:00,1.109245,1.109285,1.109205,1.109245,loss
2023-05-14 06:11:00,1.109285,1.109395,1.109265,1.109265,loss
2023-05-14 06:12:00,1.109265,1.109315,1.109205,1.109245,loss
2023-05-14 06:12:59,1.109235,1.109365,1.109135,1.109365,loss
2023-05-14 06:12:59,1.109235,1.109365,1.109135,1.109365,loss
2023-05-14 06:24:00,1.109335,1.109605,1.109285,1.109565,loss
2023-05-14 06:25:00,1.109535,1.109555,1.109425,1.109435,loss
2023-05-14 06:26:00,1.109435,1.109525,1.109415,1.109485,loss
2023-05-14 06:27:00,1.109495,1.109635,1.109485,1.109625,loss
2023-05-14 06:28:00,1.109625,1.109625,1.109485,1.109505,loss
2023-05-14 06:29:00,1.109505,1.109615,1.109485,1.109605,loss
2023-05-14 06:30:00,1.109605,1.109635,1.109355,1.109355,loss
2023-05-14 06:31:00,1.109355,1.109415,1.109325,1.109335,loss
2023-05-14 06:32:00,1.109335,1.109375,1.109285,1.109365,loss
2023-05-14 06:33:00,1.109365,1.109425,1.109335,1.109425,loss
2023-05-14 06:34:00,1.109435,1.109435,1.109215,1.109225,loss
2023-05-14 06:35:00,1.109225,1.109245,1.109105,1.109115,loss
2023-05-14 06:36:00,1.109115,1.109115,1.109005,1.109015,loss
